companycode,totaloperateexp,reportdate,financeexp,incometax,commreve_commexp,intnreve_tb,tystz,yltz,sumprofit,operateexp,parentnetprofit,operateexp_tb,mkt,indemnityexp,surrenderpremium,sjltz,noticedate,premiumearned,combinetypecode,reporttimetypecode,operateprofit,sjlktz,operatemanageexp,hycode,yyzc,premiumearned_tb,intreve_intexp,eutime,commnreve_tb,operatetax,manageexp,investincome,saleexp,kcfjcxsyjlr,totaloperatereve,totaloperateexp_tb,scode,commnreve,publishname,sname,dataajusttype,intnreve,operatereve
80142622,2021372695.79,2019-12-31T00:00:00,-2722251.46,10241963.2,-,-,-0.303747,-1.546954,-198803129.3,1834488261.92,-209045092.5,-0.315827532675004,cyb,-,-,-1.661197,2020-04-16T00:00:00,-,001,001,-201413218.09,-1.8902982668,-,016040,1834488261.92,-,-,2020/4/15 17:14:02,-,6134380.19,51277363.96,-,33057523.75,-270949614.71,2284175396.2,-0.310030644008222,300073,-,材料行业,当升科技,2,-,-
10001223,286222515.79,2019-12-31T00:00:00,11799928.38,1454660.61,-,-,-0.659807,1.035944,6518053.09,200286036.47,4975779.02,-0.728822808593707,,-,-,1.011739,2020-04-16T00:00:00,-,001,001,16529645.64,0.7905189436,-,016012,200286036.47,-,-,2020/4/15 20:28:41,-,4532866.71,69355947.0,-,247737.23,-113681230.79,213188826.11,-0.700892773103197,000972,-,食品饮料,ST中基,2,-,-
10000488,3921332585.13,2019-12-31T00:00:00,76773860.51,222651841.84,-,-,0.027141,-0.174626,963336237.72,3551888393.35,728290026.53,0.0918629074045475,shzb,-,-,-0.276356,2020-04-16T00:00:00,-,001,001,974190259.95,-0.3155942833,-,016006,3551888393.35,-,-,2020/4/15 20:29:34,-,20362886.12,182794793.95,-,86588431.04,671764787.49,4881558893.48,0.105113310216458,600681,-,公用事业,百川能源,2,-,-
10000832,45754748.81,2019-12-31T00:00:00,-2540639.88,-,-,-,0.053556,-0.354887,7147673.29,32902816.88,7147673.29,0.0878913640496558,shzb,-,-,-0.335141,2020-04-16T00:00:00,-,001,001,6858606.04,-1.5195902815,-,016004,32902816.88,-,-,2020/4/15 16:35:02,-,254846.84,13938308.71,-,1199416.26,-2502749.13,31726569.06,0.14211887763334,600883,-,水泥建材,博闻科技,2,-,-
80180098,951680052.87,2019-12-31T00:00:00,-2880858.29,43082348.04,-,-,0.380677,0.91125,325722097.72,600611478.49,273319679.97,0.400793681621662,cyb,-,-,0.833145,2020-04-16T00:00:00,-,001,001,320604956.31,0.7489910449,-,016021,600611478.49,-,-,2020/4/15 17:34:00,-,12389152.4,59512351.7,-,204272644.06,217226722.17,1180831810.22,0.323606576865551,300259,-,仪器仪表,新天科技,2,-,-
80426005,752626730.73,2019-12-31T00:00:00,-5649453.57,14421115.57,-,-,0.13974,-0.222188,83948252.64,533384137.49,60138252.58,0.12574122936635,shzb,-,-,-0.290816,2020-04-16T00:00:00,-,001,001,83984819.71,-0.3128444292,-,016061,533384137.49,-,-,2020/4/15 18:32:09,-,8780057.15,67223802.56,-,72603633.86,57513850.14,862017231.4,0.181333717028491,603396,-,专用设备,金辰股份,2,-,-
10000715,28858294.92,2019-12-31T00:00:00,1200144.78,1246113.32,-,-,1.220093,6.095125,10878537.76,22072008.96,10034903.84,3.61823488548186,shzb,-,-,5.271352,2020-04-16T00:00:00,-,001,001,10878537.76,0.0796561224,-,016052,22072008.96,-,-,2020/4/15 19:10:09,-,343884.44,4951727.38,-,290529.36,-2162210.57,26816579.91,1.64493109836098,600766,-,贵金属,园城黄金,2,-,-
10000822,13504728133.4,2019-12-31T00:00:00,270157206.77,164021201.01,-,-,0.150656,-0.033896,1167578679.08,11268002954.78,988641850.29,0.186320483861596,shzb,-,-,-0.012885,2020-04-16T00:00:00,-,001,001,1174003493.29,-0.0403329673,-,016012,11268002954.78,-,-,2020/4/15 18:18:33,-,197283971.84,540450478.86,-,1168288652.2,856101654.05,14553547455.2,0.171257847212631,600873,-,食品饮料,梅花生物,2,-,-
80202049,468078442.37,2019-12-31T00:00:00,1780207.58,8327669.25,-,-,-0.084109,-0.080621,75789047.75,368496617.15,67461378.5,-0.0782038195532355,cyb,-,-,0.002439,2020-04-16T00:00:00,-,001,001,76334102.4,-0.1772016993,-,016043,368496617.15,-,-,2020/4/15 18:56:35,-,4162869.04,37218766.97,-,29204926.37,57939294.63,529584726.03,-0.064965414738356,300817,-,机械行业,双飞股份,2,-,-
80008461,40614864658.08,2019-12-31T00:00:00,28980177.19,1228832903.43,-,-,0.255547,-0.439018,4914241464.52,38900711196.0,3673178443.26,0.504458330588868,zxb,-,-,-0.435494,2020-04-16T00:00:00,-,001,001,4872407951.22,-0.3606615008,-,016033,38900711196.0,-,-,2020/4/15 18:02:31,-,194127354.33,417126696.91,-,126347928.07,3675103387.69,45511323230.8,0.475003951119188,002110,-,钢铁行业,三钢闽光,2,-,-
